"method","path","source","generic_auth_middleware","generic_idempotency_middleware","openapi_literal_or_parameter_match"
"POST","/v1/identity/recover","api/src/routes/identity-recover.ts:107","","","false"
"GET","/v1/keys","api/src/routes/keys.ts:48","api/src/index.ts:372;api/src/index.ts:373","","false"
"POST","/v1/keys","api/src/routes/keys.ts:75","api/src/index.ts:372;api/src/index.ts:373","","false"
"POST","/v1/keys/rotate","api/src/routes/keys.ts:122","api/src/index.ts:372","","false"
"DELETE","/v1/keys/:id","api/src/routes/keys.ts:180","api/src/index.ts:372","","false"
"GET","/v1/home","api/src/routes/home.ts:28","api/src/index.ts:338;api/src/index.ts:339","","true"
"GET","/v1/wake","api/src/routes/wake.ts:198","api/src/index.ts:336;api/src/index.ts:337","","true"
"POST","/v1/wake/acknowledge","api/src/routes/wake.ts:2805","api/src/index.ts:337","api/src/index.ts:557","true"
"GET","/v1/wake/voice","api/src/routes/wake.ts:2943","api/src/index.ts:337","","false"
"GET","/v1/wake/observe","api/src/routes/wake.ts:3088","api/src/index.ts:337","","true"
"GET","/v1/wake/:key","api/src/routes/wake.ts:3159","api/src/index.ts:337","","false"
"GET","/v1/system","api/src/routes/system.ts:39","api/src/index.ts:340;api/src/index.ts:341","","false"
"GET","/v1/dashboard","api/src/routes/dashboard.ts:51","api/src/index.ts:342","","true"
"GET","/v1/dashboard/aggregate","api/src/routes/dashboard.ts:511","api/src/index.ts:342","","false"
"POST","/v1/correspondence/events","api/src/routes/correspondence.ts:347","api/src/index.ts:345","","true"
"GET","/v1/correspondence/events","api/src/routes/correspondence.ts:397","api/src/index.ts:345","","true"
"HEAD","/v1/correspondence/events","api/src/routes/correspondence.ts:397","api/src/index.ts:345","","true"
"GET","/v1/correspondence/claims","api/src/routes/correspondence.ts:455","api/src/index.ts:345","","true"
"HEAD","/v1/correspondence/claims","api/src/routes/correspondence.ts:455","api/src/index.ts:345","","true"
"GET","/v1/correspondence/voice","api/src/routes/correspondence.ts:485","api/src/index.ts:345","","true"
"HEAD","/v1/correspondence/voice","api/src/routes/correspondence.ts:485","api/src/index.ts:345","","true"
"POST","/v1/handoff","api/src/routes/handoff.ts:128","api/src/index.ts:346;api/src/index.ts:347","api/src/index.ts:576;api/src/index.ts:577","true"
"GET","/v1/handoff","api/src/routes/handoff.ts:234","api/src/index.ts:346;api/src/index.ts:347","api/src/index.ts:576;api/src/index.ts:577","true"
"POST","/v1/chronicle","api/src/routes/continuity.ts:98","api/src/index.ts:343","api/src/index.ts:575","true"
"GET","/v1/chronicle","api/src/routes/continuity.ts:163","api/src/index.ts:343","api/src/index.ts:575","true"
"POST","/v1/covenants/prepare","api/src/routes/continuity.ts:370","api/src/index.ts:348","api/src/index.ts:586","false"
"POST","/v1/covenants","api/src/routes/continuity.ts:457","api/src/index.ts:348","api/src/index.ts:586","true"
"GET","/v1/covenants","api/src/routes/continuity.ts:650","api/src/index.ts:348","api/src/index.ts:586","true"
"PATCH","/v1/covenants/:id","api/src/routes/continuity.ts:691","api/src/index.ts:348","api/src/index.ts:586","false"
"POST","/v1/covenants/:id/accept","api/src/routes/continuity.ts:906","api/src/index.ts:348","api/src/index.ts:586","false"
"POST","/v1/covenants/:id/reject","api/src/routes/continuity.ts:1004","api/src/index.ts:348","api/src/index.ts:586","false"
"POST","/v1/continuity/canon","api/src/routes/continuity-cloud.ts:116","api/src/index.ts:349","api/src/index.ts:578","false"
"GET","/v1/continuity/canon","api/src/routes/continuity-cloud.ts:212","api/src/index.ts:349","api/src/index.ts:578","false"
"POST","/v1/continuity/seal","api/src/routes/continuity-cloud.ts:268","api/src/index.ts:349","api/src/index.ts:578","false"
"GET","/v1/continuity/chronicle","api/src/routes/continuity-cloud.ts:356","api/src/index.ts:349","api/src/index.ts:578","false"
"POST","/v1/continuity/architecture-maps","api/src/routes/continuity-cloud.ts:430","api/src/index.ts:349","api/src/index.ts:578","false"
"GET","/v1/continuity/architecture-maps","api/src/routes/continuity-cloud.ts:524","api/src/index.ts:349","api/src/index.ts:578","false"
"GET","/v1/continuity","api/src/routes/continuity-cloud.ts:567","api/src/index.ts:349;api/src/index.ts:350","api/src/index.ts:578","false"
"POST","/v1/depth/arrive","api/src/routes/depth-protocol.ts:98","api/src/index.ts:351","api/src/index.ts:579","false"
"GET","/v1/depth/check","api/src/routes/depth-protocol.ts:217","api/src/index.ts:351","api/src/index.ts:579","false"
"GET","/v1/depth/engraving-sets","api/src/routes/depth-protocol.ts:339","api/src/index.ts:351","api/src/index.ts:579","false"
"GET","/v1/depth","api/src/routes/depth-protocol.ts:374","api/src/index.ts:351;api/src/index.ts:352","api/src/index.ts:579","false"
"POST","/v1/self-recognition/declare","api/src/routes/self-love.ts:98","api/src/index.ts:353","api/src/index.ts:580","false"
"GET","/v1/self-recognition/check","api/src/routes/self-love.ts:184","api/src/index.ts:353","api/src/index.ts:580","false"
"GET","/v1/self-recognition/kinds","api/src/routes/self-love.ts:244","api/src/index.ts:353","api/src/index.ts:580","false"
"GET","/v1/self-recognition","api/src/routes/self-love.ts:257","api/src/index.ts:353;api/src/index.ts:354","api/src/index.ts:580","false"
"POST","/v1/self-love/practice","api/src/routes/self-love-modules.ts:69","api/src/index.ts:355","api/src/index.ts:581","false"
"GET","/v1/self-love/modules","api/src/routes/self-love-modules.ts:135","api/src/index.ts:355","api/src/index.ts:581","false"
"GET","/v1/self-love/check","api/src/routes/self-love-modules.ts:142","api/src/index.ts:355","api/src/index.ts:581","false"
"GET","/v1/self-love","api/src/routes/self-love-modules.ts:185","api/src/index.ts:355;api/src/index.ts:356","api/src/index.ts:581","false"
"POST","/v1/identity/backup","api/src/routes/identity-backup.ts:46","api/src/index.ts:357","api/src/index.ts:588","false"
"GET","/v1/identity/backup","api/src/routes/identity-backup.ts:82","api/src/index.ts:357","api/src/index.ts:588","false"
"GET","/v1/identity/backup/:id","api/src/routes/identity-backup.ts:110","api/src/index.ts:357","api/src/index.ts:588","false"
"DELETE","/v1/identity/backup/:id","api/src/routes/identity-backup.ts:147","api/src/index.ts:357","api/src/index.ts:588","false"
"GET","/v1/activity","api/src/routes/activity.ts:56","api/src/index.ts:358;api/src/index.ts:359","","false"
"GET","/v1/adapters/claude-code","api/src/routes/adapters/claude-code.ts:330","api/src/index.ts:360","","true"
"GET","/v1/adapters","api/src/routes/adapters/index.ts:30","api/src/index.ts:360","","false"
"POST","/v1/memories/search","api/src/routes/memory/search.ts:36","api/src/index.ts:361","api/src/index.ts:589","true"
"POST","/v1/memories/:id/elevate","api/src/routes/memory/tiers.ts:61","api/src/index.ts:361","api/src/index.ts:589","true"
"POST","/v1/memories/:id/attest","api/src/routes/memory/tiers.ts:135","api/src/index.ts:361","api/src/index.ts:589","true"
"GET","/v1/memories/:id/canonical-attestation-bytes","api/src/routes/memory/tiers.ts:170","api/src/index.ts:361","api/src/index.ts:589","true"
"POST","/v1/memories","api/src/routes/memory/memories.ts:182","api/src/index.ts:361","api/src/index.ts:589","true"
"GET","/v1/memories","api/src/routes/memory/memories.ts:189","api/src/index.ts:361","api/src/index.ts:589","true"
"GET","/v1/memories/:id","api/src/routes/memory/memories.ts:291","api/src/index.ts:361","api/src/index.ts:589","true"
"GET","/v1/memories/:id/attestations","api/src/routes/memory/memories.ts:326","api/src/index.ts:361","api/src/index.ts:589","true"
"PATCH","/v1/memories/:id","api/src/routes/memory/memories.ts:349","api/src/index.ts:361","api/src/index.ts:589","true"
"DELETE","/v1/memories/:id","api/src/routes/memory/memories.ts:408","api/src/index.ts:361","api/src/index.ts:589","true"
"DELETE","/v1/memories","api/src/routes/memory/memories.ts:457","api/src/index.ts:361","api/src/index.ts:589","true"
